x-axis,FFT
Hertz,Volt
-420.0000E+00,
-419.5022E+00,
-419.0044E+00,
-418.5066E+00,
-418.0088E+00,
-417.5110E+00,
-417.0131E+00,
-416.5153E+00,
-416.0175E+00,
-415.5197E+00,
-415.0219E+00,
-414.5241E+00,
-414.0263E+00,
-413.5285E+00,
-413.0307E+00,
-412.5329E+00,
-412.0350E+00,
-411.5372E+00,
-411.0394E+00,
-410.5416E+00,
-410.0438E+00,
-409.5460E+00,
-409.0482E+00,
-408.5504E+00,
-408.0526E+00,
-407.5548E+00,
-407.0569E+00,
-406.5591E+00,
-406.0613E+00,
-405.5635E+00,
-405.0657E+00,
-404.5679E+00,
-404.0701E+00,
-403.5723E+00,
-403.0745E+00,
-402.5767E+00,
-402.0789E+00,
-401.5810E+00,
-401.0832E+00,
-400.5854E+00,
-400.0876E+00,
-399.5898E+00,
-399.0920E+00,
-398.5942E+00,
-398.0964E+00,
-397.5986E+00,
-397.1008E+00,
-396.6029E+00,
-396.1051E+00,
-395.6073E+00,
-395.1095E+00,
-394.6117E+00,
-394.1139E+00,
-393.6161E+00,
-393.1183E+00,
-392.6205E+00,
-392.1227E+00,
-391.6249E+00,
-391.1270E+00,
-390.6292E+00,
-390.1314E+00,
-389.6336E+00,
-389.1358E+00,
-388.6380E+00,
-388.1402E+00,
-387.6424E+00,
-387.1446E+00,
-386.6468E+00,
-386.1489E+00,
-385.6511E+00,
-385.1533E+00,
-384.6555E+00,
-384.1577E+00,
-383.6599E+00,
-383.1621E+00,
-382.6643E+00,
-382.1665E+00,
-381.6687E+00,
-381.1708E+00,
-380.6730E+00,
-380.1752E+00,
-379.6774E+00,
-379.1796E+00,
-378.6818E+00,
-378.1840E+00,
-377.6862E+00,
-377.1884E+00,
-376.6906E+00,
-376.1928E+00,
-375.6949E+00,
-375.1971E+00,
-374.6993E+00,
-374.2015E+00,
-373.7037E+00,
-373.2059E+00,
-372.7081E+00,
-372.2103E+00,
-371.7125E+00,
-371.2147E+00,
-370.7168E+00,
-370.2190E+00,
