x-axis,FFT
Hertz,Volt
-3.29541E+03,
-3.26489E+03,
-3.23438E+03,
-3.20386E+03,
-3.17334E+03,
-3.14282E+03,
-3.11230E+03,
-3.08179E+03,
-3.05127E+03,
-3.02075E+03,
-2.99023E+03,
-2.95972E+03,
-2.92920E+03,
-2.89868E+03,
-2.86816E+03,
-2.83765E+03,
-2.80713E+03,
-2.77661E+03,
-2.74609E+03,
-2.71558E+03,
-2.68506E+03,
-2.65454E+03,
-2.62402E+03,
-2.59351E+03,
-2.56299E+03,
-2.53247E+03,
-2.50195E+03,
-2.47144E+03,
-2.44092E+03,
-2.41040E+03,
-2.37988E+03,
-2.34937E+03,
-2.31885E+03,
-2.28833E+03,
-2.25781E+03,
-2.22729E+03,
-2.19678E+03,
-2.16626E+03,
-2.13574E+03,
-2.10522E+03,
-2.07471E+03,
-2.04419E+03,
-2.01367E+03,
-1.98315E+03,
-1.95264E+03,
-1.92212E+03,
-1.89160E+03,
-1.86108E+03,
-1.83057E+03,
-1.80005E+03,
-1.76953E+03,
-1.73901E+03,
-1.70850E+03,
-1.67798E+03,
-1.64746E+03,
-1.61694E+03,
-1.58643E+03,
-1.55591E+03,
-1.52539E+03,
-1.49487E+03,
-1.46436E+03,
-1.43384E+03,
-1.40332E+03,
-1.37280E+03,
-1.34229E+03,
-1.31177E+03,
-1.28125E+03,
-1.25073E+03,
-1.22021E+03,
-1.18970E+03,
-1.15918E+03,
-1.12866E+03,
-1.09814E+03,
-1.06763E+03,
-1.03711E+03,
-1.00659E+03,
-976.07E+00,
-945.56E+00,
-915.04E+00,
-884.52E+00,
-854.00E+00,
-823.49E+00,
-792.97E+00,
-762.45E+00,
-731.93E+00,
-701.42E+00,
-670.90E+00,
-640.38E+00,
-609.86E+00,
-579.35E+00,
-548.83E+00,
-518.31E+00,
-487.79E+00,
-457.28E+00,
-426.76E+00,
-396.24E+00,
-365.72E+00,
-335.21E+00,
-304.69E+00,
-274.17E+00,
-243.65E+00,
-213.13E+00,
-182.62E+00,
-152.10E+00,
-121.58E+00,
-91.06E+00,
-60.55E+00,
-30.03E+00,
+490E-03,+30.0E-06
+31.01E+00,+6.1677E-03
+61.52E+00,+1.0E-06
+92.04E+00,+2.6E-06
+122.56E+00,+2.6E-06
+153.08E+00,+1.5E-06
+183.59E+00,+1.0E-06
+214.11E+00,+4.5E-06
+244.63E+00,+3.3E-06
+275.15E+00,+2.7E-06
+305.66E+00,+4.7E-06
+336.18E+00,+2.4E-06
+366.70E+00,+1.9E-06
+397.22E+00,+2.7E-06
+427.73E+00,+2.1E-06
+458.25E+00,+4.2E-06
+488.77E+00,+4.1E-06
+519.29E+00,+2.4E-06
+549.80E+00,+3.8E-06
+580.32E+00,+4.5E-06
+610.84E+00,+2.1E-06
+641.36E+00,+3.1E-06
+671.88E+00,+1.8E-06
+702.39E+00,+5.6E-06
+732.91E+00,+5.4E-06
+763.43E+00,+3.2E-06
+793.95E+00,+2.7E-06
+824.46E+00,+1.7E-06
+854.98E+00,+1.4E-06
+885.50E+00,+1.3E-06
+916.02E+00,+1.9E-06
+946.53E+00,+4.8E-06
+977.05E+00,+2.7E-06
+1.00757E+03,+2.1E-06
+1.03809E+03,+5.5E-06
+1.06860E+03,+3.9E-06
+1.09912E+03,+1.4E-06
+1.12964E+03,+600E-09
+1.16016E+03,+2.2E-06
+1.19067E+03,+1.2E-06
+1.22119E+03,+1.0E-06
+1.25171E+03,+2.3E-06
+1.28223E+03,+4.3E-06
+1.31274E+03,+2.9E-06
+1.34326E+03,+1.7E-06
+1.37378E+03,+5.0E-06
+1.40430E+03,+2.5E-06
+1.43481E+03,+1.6E-06
+1.46533E+03,+3.2E-06
+1.49585E+03,+4.8E-06
+1.52637E+03,+2.7E-06
+1.55688E+03,+1.9E-06
+1.58740E+03,+1.7E-06
+1.61792E+03,+1.8E-06
+1.64844E+03,+2.9E-06
+1.67896E+03,+3.1E-06
+1.70947E+03,+1.9E-06
+1.73999E+03,+3.0E-06
+1.77051E+03,+1.7E-06
+1.80103E+03,+4.7E-06
+1.83154E+03,+5.5E-06
+1.86206E+03,+700E-09
+1.89258E+03,+4.3E-06
+1.92310E+03,+1.2E-06
+1.95361E+03,+2.0E-06
+1.98413E+03,+800E-09
+2.01465E+03,+1.9E-06
+2.04517E+03,+800E-09
+2.07568E+03,+4.2E-06
+2.10620E+03,+2.2E-06
+2.13672E+03,+2.3E-06
+2.16724E+03,+3.0E-06
+2.19775E+03,+4.1E-06
+2.22827E+03,+3.5E-06
+2.25879E+03,+4.0E-06
+2.28931E+03,+4.0E-06
+2.31982E+03,+3.8E-06
+2.35034E+03,+2.9E-06
+2.38086E+03,+2.7E-06
+2.41138E+03,+4.3E-06
+2.44189E+03,+3.2E-06
+2.47241E+03,+1.3E-06
+2.50293E+03,+2.2E-06
+2.53345E+03,+2.0E-06
+2.56396E+03,+2.2E-06
+2.59448E+03,+2.6E-06
+2.62500E+03,+2.0E-06
+2.65552E+03,+3.4E-06
+2.68604E+03,+3.2E-06
+2.71655E+03,+2.2E-06
+2.74707E+03,+2.3E-06
+2.77759E+03,+4.6E-06
+2.80811E+03,+1.9E-06
+2.83862E+03,+1.6E-06
+2.86914E+03,+2.6E-06
+2.89966E+03,+3.2E-06
+2.93018E+03,+1.3E-06
+2.96069E+03,+2.2E-06
+2.99121E+03,+2.8E-06
+3.02173E+03,+2.1E-06
+3.05225E+03,+1.8E-06
+3.08276E+03,+1.4E-06
+3.11328E+03,+4.3E-06
+3.14380E+03,+2.1E-06
+3.17432E+03,+2.9E-06
+3.20483E+03,+1.7E-06
+3.23535E+03,+3.1E-06
+3.26587E+03,+3.6E-06
+3.29639E+03,+2.3E-06
+3.32690E+03,+4.1E-06
+3.35742E+03,+4.9E-06
+3.38794E+03,+2.6E-06
+3.41846E+03,+900E-09
+3.44897E+03,+3.1E-06
+3.47949E+03,+2.8E-06
+3.51001E+03,+3.7E-06
+3.54053E+03,+600E-09
+3.57104E+03,+2.3E-06
+3.60156E+03,+1.5E-06
+3.63208E+03,+4.2E-06
+3.66260E+03,+3.2E-06
+3.69312E+03,+4.0E-06
+3.72363E+03,+3.4E-06
+3.75415E+03,+4.8E-06
+3.78467E+03,+2.9E-06
+3.81519E+03,+2.4E-06
+3.84570E+03,+1.9E-06
+3.87622E+03,+3.3E-06
+3.90674E+03,+3.2E-06
+3.93726E+03,+2.6E-06
+3.96777E+03,+4.9E-06
+3.99829E+03,+1.3E-06
+4.02881E+03,+5.9E-06
+4.05933E+03,+5.6E-06
+4.08984E+03,+4.1E-06
+4.12036E+03,+4.7E-06
+4.15088E+03,+2.7E-06
+4.18140E+03,+2.0E-06
+4.21191E+03,+1.8E-06
+4.24243E+03,+2.0E-06
+4.27295E+03,+2.5E-06
+4.30347E+03,+900E-09
+4.33398E+03,+5.0E-06
+4.36450E+03,+1.2E-06
+4.39502E+03,+2.1E-06
+4.42554E+03,+1.1E-06
+4.45605E+03,+1.7E-06
+4.48657E+03,+1.3E-06
+4.51709E+03,+1.2E-06
+4.54761E+03,+1.7E-06
+4.57813E+03,+4.7E-06
+4.60864E+03,+1.3E-06
+4.63916E+03,+2.0E-06
+4.66968E+03,+1.2E-06
+4.70020E+03,+2.2E-06
+4.73071E+03,+2.2E-06
+4.76123E+03,+3.1E-06
+4.79175E+03,+3.2E-06
+4.82227E+03,+2.3E-06
+4.85278E+03,+1.5E-06
+4.88330E+03,+3.1E-06
+4.91382E+03,+2.8E-06
+4.94434E+03,+3.9E-06
+4.97485E+03,+4.2E-06
+5.00537E+03,+1.0E-06
+5.03589E+03,+1.8E-06
+5.06641E+03,+1.8E-06
+5.09692E+03,+2.5E-06
+5.12744E+03,+1.1E-06
+5.15796E+03,+3.7E-06
+5.18848E+03,+1.0E-06
+5.21899E+03,+5.4E-06
+5.24951E+03,+1.5E-06
+5.28003E+03,+1.5E-06
+5.31055E+03,+2.8E-06
+5.34106E+03,+900E-09
+5.37158E+03,+5.6E-06
+5.40210E+03,+3.2E-06
+5.43262E+03,+6.0E-06
+5.46313E+03,+2.7E-06
+5.49365E+03,+2.0E-06
+5.52417E+03,+3.3E-06
+5.55469E+03,+3.4E-06
+5.58521E+03,+1.8E-06
+5.61572E+03,+1.0E-06
+5.64624E+03,+1.4E-06
+5.67676E+03,+2.5E-06
+5.70728E+03,+1.5E-06
+5.73779E+03,+1.6E-06
+5.76831E+03,+1.5E-06
+5.79883E+03,+5.2E-06
+5.82935E+03,+1.6E-06
+5.85986E+03,+2.4E-06
+5.89038E+03,+2.7E-06
+5.92090E+03,+1.2E-06
+5.95142E+03,+1.3E-06
+5.98193E+03,+3.8E-06
+6.01245E+03,+3.3E-06
+6.04297E+03,+5.1E-06
+6.07349E+03,+3.4E-06
+6.10400E+03,+1.6E-06
+6.13452E+03,+3.6E-06
+6.16504E+03,+2.5E-06
+6.19556E+03,+2.3E-06
+6.22607E+03,+1.9E-06
+6.25659E+03,
+6.28711E+03,
+6.31763E+03,
+6.34814E+03,
+6.37866E+03,
+6.40918E+03,
+6.43970E+03,
+6.47021E+03,
+6.50073E+03,
+6.53125E+03,
+6.56177E+03,
+6.59229E+03,
+6.62280E+03,
+6.65332E+03,
+6.68384E+03,
+6.71436E+03,
+6.74487E+03,
+6.77539E+03,
+6.80591E+03,
+6.83643E+03,
+6.86694E+03,
+6.89746E+03,
+6.92798E+03,
+6.95850E+03,
+6.98901E+03,
+7.01953E+03,
+7.05005E+03,
+7.08057E+03,
+7.11108E+03,
+7.14160E+03,
+7.17212E+03,
+7.20264E+03,
+7.23315E+03,
+7.26367E+03,
+7.29419E+03,
+7.32471E+03,
+7.35522E+03,
+7.38574E+03,
+7.41626E+03,
+7.44678E+03,
+7.47729E+03,
+7.50781E+03,
+7.53833E+03,
+7.56885E+03,
+7.59937E+03,
+7.62988E+03,
+7.66040E+03,
+7.69092E+03,
+7.72144E+03,
+7.75195E+03,
+7.78247E+03,
+7.81299E+03,
+7.84351E+03,
+7.87402E+03,
+7.90454E+03,
+7.93506E+03,
+7.96558E+03,
+7.99609E+03,
+8.02661E+03,
+8.05713E+03,
+8.08765E+03,
+8.11816E+03,
+8.14868E+03,
+8.17920E+03,
+8.20972E+03,
+8.24023E+03,
+8.27075E+03,
+8.30127E+03,
+8.33179E+03,
+8.36230E+03,
+8.39282E+03,
+8.42334E+03,
+8.45386E+03,
+8.48438E+03,
+8.51489E+03,
+8.54541E+03,
+8.57593E+03,
+8.60645E+03,
+8.63696E+03,
+8.66748E+03,
+8.69800E+03,
+8.72852E+03,
+8.75903E+03,
+8.78955E+03,
+8.82007E+03,
+8.85059E+03,
+8.88110E+03,
+8.91162E+03,
+8.94214E+03,
+8.97266E+03,
+9.00317E+03,
+9.03369E+03,
+9.06421E+03,
+9.09473E+03,
+9.12524E+03,
+9.15576E+03,
+9.18628E+03,
+9.21680E+03,
+9.24731E+03,
+9.27783E+03,
+9.30835E+03,
+9.33887E+03,
+9.36938E+03,
+9.39990E+03,
+9.43042E+03,
+9.46094E+03,
+9.49146E+03,
+9.52197E+03,
+9.55249E+03,
+9.58301E+03,
+9.61353E+03,
+9.64404E+03,
+9.67456E+03,
+9.70508E+03,
+9.73560E+03,
+9.76611E+03,
+9.79663E+03,
+9.82715E+03,
+9.85767E+03,
+9.88818E+03,
+9.91870E+03,
+9.94922E+03,
+9.97974E+03,
+10.01025E+03,
+10.04077E+03,
+10.07129E+03,
+10.10181E+03,
+10.13232E+03,
+10.16284E+03,
+10.19336E+03,
+10.22388E+03,
+10.25439E+03,
+10.28491E+03,
+10.31543E+03,
+10.34595E+03,
+10.37646E+03,
+10.40698E+03,
+10.43750E+03,
+10.46802E+03,
+10.49854E+03,
+10.52905E+03,
+10.55957E+03,
+10.59009E+03,
+10.62061E+03,
+10.65112E+03,
+10.68164E+03,
+10.71216E+03,
+10.74268E+03,
+10.77319E+03,
+10.80371E+03,
+10.83423E+03,
+10.86475E+03,
+10.89526E+03,
+10.92578E+03,
+10.95630E+03,
+10.98682E+03,
+11.01733E+03,
+11.04785E+03,
+11.07837E+03,
+11.10889E+03,
+11.13940E+03,
+11.16992E+03,
+11.20044E+03,
+11.23096E+03,
+11.26147E+03,
+11.29199E+03,
+11.32251E+03,
+11.35303E+03,
+11.38354E+03,
+11.41406E+03,
+11.44458E+03,
+11.47510E+03,
+11.50562E+03,
+11.53613E+03,
+11.56665E+03,
+11.59717E+03,
+11.62769E+03,
+11.65820E+03,
+11.68872E+03,
+11.71924E+03,
+11.74976E+03,
+11.78027E+03,
+11.81079E+03,
+11.84131E+03,
+11.87183E+03,
+11.90234E+03,
+11.93286E+03,
+11.96338E+03,
+11.99390E+03,
+12.02441E+03,
+12.05493E+03,
+12.08545E+03,
+12.11597E+03,
+12.14648E+03,
+12.17700E+03,
+12.20752E+03,
+12.23804E+03,
+12.26855E+03,
+12.29907E+03,
+12.32959E+03,
+12.36011E+03,
+12.39063E+03,
+12.42114E+03,
+12.45166E+03,
+12.48218E+03,
+12.51270E+03,
+12.54321E+03,
+12.57373E+03,
+12.60425E+03,
+12.63477E+03,
+12.66528E+03,
+12.69580E+03,
+12.72632E+03,
+12.75684E+03,
+12.78735E+03,
+12.81787E+03,
+12.84839E+03,
+12.87891E+03,
+12.90942E+03,
+12.93994E+03,
+12.97046E+03,
+13.00098E+03,
+13.03149E+03,
+13.06201E+03,
+13.09253E+03,
+13.12305E+03,
+13.15356E+03,
+13.18408E+03,
+13.21460E+03,
+13.24512E+03,
+13.27563E+03,
+13.30615E+03,
+13.33667E+03,
+13.36719E+03,
+13.39771E+03,
+13.42822E+03,
+13.45874E+03,
+13.48926E+03,
+13.51978E+03,
+13.55029E+03,
+13.58081E+03,
+13.61133E+03,
+13.64185E+03,
+13.67236E+03,
+13.70288E+03,
+13.73340E+03,
+13.76392E+03,
+13.79443E+03,
+13.82495E+03,
+13.85547E+03,
+13.88599E+03,
+13.91650E+03,
+13.94702E+03,
+13.97754E+03,
+14.00806E+03,
+14.03857E+03,
+14.06909E+03,
+14.09961E+03,
+14.13013E+03,
+14.16064E+03,
+14.19116E+03,
+14.22168E+03,
+14.25220E+03,
+14.28271E+03,
+14.31323E+03,
+14.34375E+03,
+14.37427E+03,
+14.40479E+03,
+14.43530E+03,
+14.46582E+03,
+14.49634E+03,
+14.52686E+03,
+14.55737E+03,
+14.58789E+03,
+14.61841E+03,
+14.64893E+03,
+14.67944E+03,
+14.70996E+03,
+14.74048E+03,
+14.77100E+03,
+14.80151E+03,
+14.83203E+03,
+14.86255E+03,
+14.89307E+03,
+14.92358E+03,
+14.95410E+03,
+14.98462E+03,
+15.01514E+03,
+15.04565E+03,
+15.07617E+03,
+15.10669E+03,
+15.13721E+03,
+15.16772E+03,
+15.19824E+03,
+15.22876E+03,
+15.25928E+03,
+15.28979E+03,
+15.32031E+03,
+15.35083E+03,
+15.38135E+03,
+15.41187E+03,
+15.44238E+03,
+15.47290E+03,
+15.50342E+03,
+15.53394E+03,
+15.56445E+03,
+15.59497E+03,
+15.62549E+03,
+15.65601E+03,
+15.68652E+03,
+15.71704E+03,
+15.74756E+03,
+15.77808E+03,
+15.80859E+03,
+15.83911E+03,
+15.86963E+03,
+15.90015E+03,
+15.93066E+03,
+15.96118E+03,
+15.99170E+03,
+16.02222E+03,
+16.05273E+03,
+16.08325E+03,
+16.11377E+03,
+16.14429E+03,
+16.17480E+03,
+16.20532E+03,
+16.23584E+03,
+16.26636E+03,
+16.29688E+03,
+16.32739E+03,
+16.35791E+03,
+16.38843E+03,
+16.41895E+03,
+16.44946E+03,
+16.47998E+03,
+16.51050E+03,
+16.54102E+03,
+16.57153E+03,
+16.60205E+03,
+16.63257E+03,
+16.66309E+03,
+16.69360E+03,
+16.72412E+03,
+16.75464E+03,
+16.78516E+03,
+16.81567E+03,
+16.84619E+03,
+16.87671E+03,
+16.90723E+03,
+16.93774E+03,
+16.96826E+03,
+16.99878E+03,
+17.02930E+03,
+17.05981E+03,
+17.09033E+03,
+17.12085E+03,
+17.15137E+03,
+17.18188E+03,
+17.21240E+03,
+17.24292E+03,
+17.27344E+03,
+17.30396E+03,
+17.33447E+03,
+17.36499E+03,
+17.39551E+03,
+17.42603E+03,
+17.45654E+03,
+17.48706E+03,
+17.51758E+03,
+17.54810E+03,
+17.57861E+03,
+17.60913E+03,
+17.63965E+03,
+17.67017E+03,
+17.70068E+03,
+17.73120E+03,
+17.76172E+03,
+17.79224E+03,
+17.82275E+03,
+17.85327E+03,
+17.88379E+03,
+17.91431E+03,
+17.94482E+03,
+17.97534E+03,
+18.00586E+03,
+18.03638E+03,
+18.06689E+03,
+18.09741E+03,
+18.12793E+03,
+18.15845E+03,
+18.18896E+03,
+18.21948E+03,
+18.25000E+03,
+18.28052E+03,
+18.31104E+03,
+18.34155E+03,
+18.37207E+03,
+18.40259E+03,
+18.43311E+03,
+18.46362E+03,
+18.49414E+03,
+18.52466E+03,
+18.55518E+03,
+18.58569E+03,
+18.61621E+03,
+18.64673E+03,
+18.67725E+03,
